,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
0,Flooding,capec_00279,"{'cwe_00434', 'cwe_00435'}",2,0,set(),set(),0,{'technique_00254'},1,set(),0,set(),0,{},125
1,Excessive Allocation,capec_00280,"{'cwe_00434', 'cwe_00435'}",2,0,set(),set(),0,{'technique_00254'},1,set(),0,set(),0,{},130
2,Resource Leak Exposure,capec_00281,{'cwe_00434'},1,0,set(),set(),0,{'technique_00254'},1,set(),0,set(),0,{},131
3,Symlink Attack,capec_00282,{'cwe_00451'},1,0,set(),set(),0,{'technique_00032'},1,set(),0,set(),0,{},132
4,Sniffing Network Traffic,capec_00283,{'cwe_00502'},1,0,set(),set(),0,{'technique_00050'},1,set(),0,set(),0,{},158
5,Redirect Access to Libraries,capec_00284,{'cwe_00503'},1,0,set(),set(),0,{'technique_00044'},1,set(),0,set(),0,{},159
6,Spear Phishing,capec_00285,set(),0,0,set(),set(),0,"{'technique_00203', 'technique_00204', 'technique_00205'}",3,set(),0,set(),0,{},163
7,Using Malicious Files,capec_00286,"{'cwe_00520', 'cwe_00451', 'cwe_00522', 'cwe_00349', 'cwe_00521', 'cwe_00519', 'cwe_00347', 'cwe_00346', 'cwe_00523'}",9,0,set(),set(),0,{'technique_00054'},1,set(),0,set(),0,{},17
8,Create files with the same name as files protected with a higher classification,capec_00287,{'cwe_00503'},1,0,set(),set(),0,{'technique_00046'},1,set(),0,set(),0,{},177
9,Malicious Automated Software Update,capec_00288,{'cwe_00540'},1,0,set(),set(),0,{'technique_00025'},1,set(),0,set(),0,{},187
10,Manipulate Registry Information,capec_00289,{'cwe_00449'},1,0,set(),set(),0,{'technique_00123'},1,set(),0,set(),0,{},203
11,Sustained Client Engagement,capec_00290,set(),0,0,set(),set(),0,{'technique_00254'},1,set(),0,set(),0,{},227
12,Leverage Alternate Encoding,capec_00291,"{'cwe_00426', 'cwe_00362', 'cwe_00427', 'cwe_00357', 'cwe_00359', 'cwe_00450', 'cwe_00419', 'cwe_00422', 'cwe_00423', 'cwe_00651', 'cwe_00420'}",11,0,set(),set(),0,{'technique_00036'},1,set(),0,set(),0,{},267
13,Modification of Registry Run Keys,capec_00292,{'cwe_00449'},1,0,set(),set(),0,{'technique_00070'},1,set(),0,set(),0,{},270
14,Host Discovery,capec_00293,{'cwe_00412'},1,0,set(),set(),0,{'technique_00027'},1,set(),0,set(),0,{},292
