,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
0,,cve_01040,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,"{'weight': 8.65, 'description': 'FarLinX X25 Gateway through 2014-09-25 allows command injection via shell metacharacters to sysSaveMonitorData.php, fsx25MonProxy.php, syseditdate.php, iframeupload.php, or sysRestoreX25Cplt.php.'}",CVE-2014-7173
1,,cve_01041,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,"{'weight': 5.15, 'description': 'FarLinX X25 Gateway through 2014-09-25 allows directory traversal via the log-handling feature.'}",CVE-2014-7174
2,,cve_01042,set(),0,0,set(),set(),0,set(),0,set(),0,set(),0,"{'weight': 8.65, 'description': 'FarLinX X25 Gateway through 2014-09-25 allows attackers to write arbitrary data to fsUI.xyz via fsSaveUIPersistence.php.'}",CVE-2014-7175
3,,cve_01043,{'cwe_00483'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 6.25, 'description': 'Lexiglot through 2014-11-20 allows denial of service because api/update.php launches svn update operations that use a great deal of resources.'}",CVE-2014-8937
4,,cve_01045,{'cwe_00373'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 4.95, 'description': 'Lexiglot through 2014-11-20 allows local users to obtain sensitive information by listing a process because the username and password are on the command line.'}",CVE-2014-8938
5,,cve_01046,{'cwe_00437'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 4.8, 'description': 'Lexiglot through 2014-11-20 allows remote attackers to obtain sensitive information (full path) via an include/smarty/plugins/modifier.date_format.php request if PHP has a non-recommended configuration that produces warning messages.'}",CVE-2014-8939
6,,cve_01047,{'cwe_00412'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 5.15, 'description': 'Lexiglot through 2014-11-20 allows remote attackers to obtain sensitive information (names and details of projects) by visiting the /update.log URI.'}",CVE-2014-8940
7,,cve_01048,{'cwe_00389'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 8.65, 'description': 'Lexiglot through 2014-11-20 allows SQL injection via an admin.php?page=users&from_id= or admin.php?page=history&limit= URI.'}",CVE-2014-8941
8,,cve_01049,{'cwe_00401'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 7.800000000000001, 'description': 'Lexiglot through 2014-11-20 allows CSRF.'}",CVE-2014-8942
9,,cve_01050,{'cwe_01051'},1,0,set(),set(),0,set(),0,set(),0,{'cpe_01044'},1,"{'weight': 7.65, 'description': 'Lexiglot through 2014-11-20 allows SSRF via the admin.php?page=projects svn_url parameter.'}",CVE-2014-8943
