,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
0,Improper Authorization,cwe_00346,set(),0,0,set(),set(),0,set(),0,"{'capec_01020', 'capec_00942', 'capec_00379', 'capec_00447', 'capec_00438', 'capec_00286', 'capec_00345', 'capec_00740', 'capec_00926', 'capec_01003', 'capec_01005', 'capec_00869', 'capec_00794', 'capec_00855', 'capec_00757', 'capec_00340'}",16,set(),0,{},285
1,Incorrect Permission Assignment for Critical Resource,cwe_00347,set(),0,1,{'cve_01167'},set(),0,set(),0,"{'capec_00951', 'capec_00942', 'capec_00984', 'capec_00430', 'capec_00438', 'capec_00286', 'capec_00345', 'capec_00963', 'capec_00574', 'capec_00535', 'capec_00613'}",11,set(),0,{},732
2,Incorrect Default Permissions,cwe_00348,set(),0,0,set(),set(),0,set(),0,"{'capec_00345', 'capec_01011', 'capec_00438'}",3,set(),0,{},276
3,Protection Mechanism Failure,cwe_00349,set(),0,0,set(),set(),0,set(),0,"{'capec_01020', 'capec_00386', 'capec_00596', 'capec_00304', 'capec_00869', 'capec_00833', 'capec_00566', 'capec_00345', 'capec_00995', 'capec_01000', 'capec_00286', 'capec_00907', 'capec_00912', 'capec_00986', 'capec_00504', 'capec_00615', 'capec_00438', 'capec_00926', 'capec_00721'}",19,set(),0,{},693
4,,cwe_00350,set(),0,0,set(),set(),0,set(),0,"{'capec_00345', 'capec_00438'}",2,set(),0,{},721
5,Unrestricted Upload of File with Dangerous Type,cwe_00351,set(),0,2,"{'cve_01171', 'cve_01151'}",set(),0,set(),0,{'capec_00345'},1,set(),0,{},434
6,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),cwe_00353,set(),0,1,{'cve_01505'},set(),0,set(),0,"{'capec_00825', 'capec_00352', 'capec_00794', 'capec_01009', 'capec_00801', 'capec_00769', 'capec_01023', 'capec_00467', 'capec_00363', 'capec_00616', 'capec_00990', 'capec_01027', 'capec_00784'}",13,set(),0,{},120
7,Authentication Bypass by Assumed-Immutable Data,cwe_00354,set(),0,0,set(),set(),0,set(),0,"{'capec_00660', 'capec_00352', 'capec_00447', 'capec_00740', 'capec_01005', 'capec_00580', 'capec_00693', 'capec_00794'}",8,set(),0,{},302
8,Incorrect Access of Indexable Resource ('Range Error'),cwe_00355,set(),0,0,set(),set(),0,set(),0,"{'capec_00825', 'capec_00352', 'capec_00794', 'capec_01009', 'capec_01023', 'capec_00467', 'capec_00801', 'capec_00616'}",8,set(),0,{},118
9,Improper Restriction of Operations within the Bounds of a Memory Buffer,cwe_00356,set(),0,4,"{'cve_01225', 'cve_01148', 'cve_01441', 'cve_01147'}",set(),0,set(),0,"{'capec_00825', 'capec_00352', 'capec_00794', 'capec_01009', 'capec_00801', 'capec_00769', 'capec_01023', 'capec_00432', 'capec_00467', 'capec_00363', 'capec_00616', 'capec_00784'}",12,set(),0,{},119
10,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),cwe_00357,set(),0,2,"{'cve_01518', 'cve_01173'}",set(),0,set(),0,"{'capec_00983', 'capec_00780', 'capec_00941', 'capec_01016', 'capec_00869', 'capec_00998', 'capec_01015', 'capec_00659', 'capec_00352', 'capec_00717', 'capec_00681', 'capec_00769', 'capec_01023', 'capec_00989', 'capec_00467', 'capec_00667', 'capec_00801', 'capec_00885', 'capec_00994', 'capec_01003', 'capec_00996', 'capec_01007', 'capec_00876', 'capec_00388', 'capec_00794', 'capec_00368', 'capec_00616', 'capec_00990', 'capec_01008', 'capec_00634', 'capec_00291', 'capec_00825', 'capec_01010', 'capec_00447', 'capec_01009', 'capec_00456', 'capec_00418'}",37,set(),0,{},74
11,Improper Control of Resource Identifiers ('Resource Injection'),cwe_00358,set(),0,0,set(),set(),0,set(),0,"{'capec_01002', 'capec_00352', 'capec_00617'}",3,set(),0,{},99
