,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
0,command-and-control,tactic_00002,set(),0,0,set(),set(),0,"{'technique_00106', 'technique_00033', 'technique_00090', 'technique_00230', 'technique_00053', 'technique_00183', 'technique_00101', 'technique_00115', 'technique_00015', 'technique_00081', 'technique_00113', 'technique_00237', 'technique_00116', 'technique_00001', 'technique_00199', 'technique_00143', 'technique_00035', 'technique_00216', 'technique_00075', 'technique_00103', 'technique_00042', 'technique_00105'}",22,set(),0,set(),0,{},
1,exfiltration,tactic_00004,set(),0,0,set(),set(),0,"{'technique_00058', 'technique_00040', 'technique_00039', 'technique_00029', 'technique_00276', 'technique_00051', 'technique_00031', 'technique_00018', 'technique_00003', 'technique_00062'}",10,set(),0,set(),0,{},
2,credential-access,tactic_00006,set(),0,0,set(),set(),0,"{'technique_00278', 'technique_00066', 'technique_00153', 'technique_00223', 'technique_00092', 'technique_00156', 'technique_00150', 'technique_00121', 'technique_00178', 'technique_00005', 'technique_00198', 'technique_00190', 'technique_00269', 'technique_00225', 'technique_00109', 'technique_00219', 'technique_00122', 'technique_00185', 'technique_00050', 'technique_00258', 'technique_00265', 'technique_00152', 'technique_00182'}",23,set(),0,set(),0,{},
3,persistence,tactic_00008,set(),0,0,set(),set(),0,"{'technique_00168', 'technique_00163', 'technique_00167', 'technique_00264', 'technique_00147', 'technique_00068', 'technique_00176', 'technique_00208', 'technique_00133', 'technique_00187', 'technique_00063', 'technique_00028', 'technique_00032', 'technique_00149', 'technique_00256', 'technique_00048', 'technique_00174', 'technique_00054', 'technique_00194', 'technique_00139', 'technique_00175', 'technique_00023', 'technique_00190', 'technique_00044', 'technique_00191', 'technique_00144', 'technique_00047', 'technique_00172', 'technique_00041', 'technique_00119', 'technique_00007', 'technique_00114', 'technique_00226', 'technique_00220', 'technique_00209', 'technique_00109', 'technique_00088', 'technique_00177', 'technique_00179', 'technique_00112', 'technique_00148', 'technique_00020', 'technique_00169', 'technique_00060', 'technique_00216', 'technique_00070', 'technique_00259', 'technique_00142', 'technique_00052', 'technique_00161', 'technique_00193', 'technique_00077', 'technique_00173', 'technique_00170', 'technique_00171', 'technique_00111', 'technique_00072', 'technique_00120', 'technique_00260', 'technique_00266', 'technique_00188', 'technique_00165', 'technique_00095'}",63,set(),0,set(),0,{},
4,collection,tactic_00010,set(),0,0,set(),set(),0,"{'technique_00066', 'technique_00134', 'technique_00084', 'technique_00130', 'technique_00196', 'technique_00126', 'technique_00049', 'technique_00009', 'technique_00124', 'technique_00271', 'technique_00136', 'technique_00034', 'technique_00125', 'technique_00224'}",14,set(),0,set(),0,{},
5,defense-evasion,tactic_00012,set(),0,0,set(),set(),0,"{'technique_00138', 'technique_00155', 'technique_00181', 'technique_00118', 'technique_00123', 'technique_00099', 'technique_00036', 'technique_00275', 'technique_00141', 'technique_00208', 'technique_00207', 'technique_00133', 'technique_00218', 'technique_00162', 'technique_00158', 'technique_00235', 'technique_00137', 'technique_00100', 'technique_00046', 'technique_00048', 'technique_00083', 'technique_00132', 'technique_00194', 'technique_00055', 'technique_00101', 'technique_00261', 'technique_00255', 'technique_00129', 'technique_00145', 'technique_00011', 'technique_00113', 'technique_00119', 'technique_00151', 'technique_00232', 'technique_00110', 'technique_00096', 'technique_00080', 'technique_00064', 'technique_00128', 'technique_00222', 'technique_00209', 'technique_00074', 'technique_00022', 'technique_00088', 'technique_00238', 'technique_00229', 'technique_00252', 'technique_00169', 'technique_00202', 'technique_00107', 'technique_00104', 'technique_00213', 'technique_00234', 'technique_00216', 'technique_00157', 'technique_00160', 'technique_00227', 'technique_00257', 'technique_00065', 'technique_00127', 'technique_00154', 'technique_00161', 'technique_00274', 'technique_00192', 'technique_00120', 'technique_00197', 'technique_00076', 'technique_00016', 'technique_00233', 'technique_00268', 'technique_00159', 'technique_00163'}",72,set(),0,set(),0,{},
6,discovery,tactic_00014,set(),0,0,set(),set(),0,"{'technique_00093', 'technique_00131', 'technique_00236', 'technique_00135', 'technique_00267', 'technique_00212', 'technique_00019', 'technique_00027', 'technique_00263', 'technique_00024', 'technique_00056', 'technique_00146', 'technique_00067', 'technique_00228', 'technique_00277', 'technique_00098', 'technique_00094', 'technique_00059', 'technique_00252', 'technique_00079', 'technique_00050', 'technique_00017', 'technique_00073', 'technique_00013', 'technique_00043'}",25,set(),0,set(),0,{},
7,privilege-escalation,tactic_00021,set(),0,0,set(),set(),0,"{'technique_00168', 'technique_00264', 'technique_00099', 'technique_00068', 'technique_00176', 'technique_00063', 'technique_00262', 'technique_00149', 'technique_00048', 'technique_00054', 'technique_00194', 'technique_00023', 'technique_00190', 'technique_00044', 'technique_00145', 'technique_00189', 'technique_00114', 'technique_00217', 'technique_00088', 'technique_00177', 'technique_00020', 'technique_00060', 'technique_00257', 'technique_00180', 'technique_00259', 'technique_00065', 'technique_00161', 'technique_00193', 'technique_00192', 'technique_00171', 'technique_00111', 'technique_00078'}",32,set(),0,set(),0,{},
8,lateral-movement,tactic_00026,set(),0,0,set(),set(),0,"{'technique_00091', 'technique_00037', 'technique_00221', 'technique_00273', 'technique_00166', 'technique_00186', 'technique_00085', 'technique_00261', 'technique_00195', 'technique_00102', 'technique_00047', 'technique_00086', 'technique_00116', 'technique_00061', 'technique_00108', 'technique_00030', 'technique_00082', 'technique_00087', 'technique_00268', 'technique_00025'}",20,set(),0,set(),0,{},
9,execution,tactic_00038,set(),0,0,set(),set(),0,"{'technique_00138', 'technique_00071', 'technique_00181', 'technique_00037', 'technique_00207', 'technique_00162', 'technique_00097', 'technique_00063', 'technique_00166', 'technique_00184', 'technique_00132', 'technique_00186', 'technique_00117', 'technique_00129', 'technique_00164', 'technique_00128', 'technique_00096', 'technique_00215', 'technique_00074', 'technique_00179', 'technique_00229', 'technique_00140', 'technique_00202', 'technique_00234', 'technique_00082', 'technique_00227', 'technique_00057', 'technique_00069', 'technique_00188', 'technique_00214', 'technique_00045', 'technique_00165', 'technique_00163'}",33,set(),0,set(),0,{},
10,initial-access,tactic_00089,set(),0,0,set(),set(),0,"{'technique_00205', 'technique_00201', 'technique_00211', 'technique_00203', 'technique_00204', 'technique_00088', 'technique_00144', 'technique_00102', 'technique_00206', 'technique_00200', 'technique_00210'}",11,set(),0,set(),0,{},
11,impact,tactic_00240,set(),0,0,set(),set(),0,"{'technique_00251', 'technique_00253', 'technique_00241', 'technique_00248', 'technique_00249', 'technique_00250', 'technique_00245', 'technique_00242', 'technique_00272', 'technique_00244', 'technique_00239', 'technique_00254', 'technique_00246', 'technique_00243', 'technique_00270', 'technique_00247'}",16,set(),0,set(),0,{},
