,name,node_name,Edges Connected to cwe,Number of Edges Connected to cwe,Number of Edges Connected to cve,Edges Connected to cve,Edges Connected to tactic,Number of Edges Connected to tactic,Edges Connected to technique,Number of Edges Connected to technique,Edges Connected to capec,Number of Edges Connected to capec,Edges Connected to cpe,Number of Edges Connected to cpe,metadata,original_id
0,,cpe_01044,set(),0,9,"{'cve_01045', 'cve_01049', 'cve_01048', 'cve_01043', 'cve_01052', 'cve_01053', 'cve_01046', 'cve_01047', 'cve_01050'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'lexiglot', 'vendor': 'piwigo', 'version': '*'}",cpe:2.3:a:piwigo:lexiglot:*:*:*:*:*:*:*:*
1,,cpe_01056,set(),0,2,"{'cve_01055', 'cve_01057'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'grafana', 'vendor': 'grafana', 'version': '5.3.1'}",cpe:2.3:a:grafana:grafana:5.3.1:*:*:*:*:*:*:*
2,,cpe_01060,set(),0,1,{'cve_01059'},set(),0,set(),0,set(),0,set(),0,"{'product': 'mailpoet', 'vendor': 'mailpoet', 'version': '*'}",cpe:2.3:a:mailpoet:mailpoet:*:*:*:*:*:wordpress:*:*
3,,cpe_01075,set(),0,1,{'cve_01074'},set(),0,set(),0,set(),0,set(),0,"{'product': 'upx', 'vendor': 'upx_project', 'version': '*'}",cpe:2.3:a:upx_project:upx:*:*:*:*:*:*:*:*
4,,cpe_01077,set(),0,1,{'cve_01076'},set(),0,set(),0,set(),0,set(),0,"{'product': 'linux_kernel', 'vendor': 'linux', 'version': '*'}",cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*
5,,cpe_01080,set(),0,1,{'cve_01079'},set(),0,set(),0,set(),0,set(),0,"{'product': 'vim', 'vendor': 'vim', 'version': '*'}",cpe:2.3:a:vim:vim:*:*:*:*:*:*:*:*
6,,cpe_01082,set(),0,1,{'cve_01081'},set(),0,set(),0,set(),0,set(),0,"{'product': 'drupal', 'vendor': 'drupal', 'version': '8.7.4'}",cpe:2.3:a:drupal:drupal:8.7.4:*:*:*:*:*:*:*
7,,cpe_01085,set(),0,1,{'cve_01084'},set(),0,set(),0,set(),0,set(),0,"{'product': 'libvirt', 'vendor': 'redhat', 'version': '*'}",cpe:2.3:a:redhat:libvirt:*:*:*:*:*:*:*:*
8,,cpe_01087,set(),0,1,{'cve_01086'},set(),0,set(),0,set(),0,set(),0,"{'product': 'undertow', 'vendor': 'redhat', 'version': '*'}",cpe:2.3:a:redhat:undertow:*:*:*:*:*:*:*:*
9,,cpe_01089,set(),0,1,{'cve_01088'},set(),0,set(),0,set(),0,set(),0,"{'product': 'oddjob', 'vendor': 'redhat', 'version': '*'}",cpe:2.3:a:redhat:oddjob:*:*:*:*:*:*:*:*
10,,cpe_01091,set(),0,1,{'cve_01090'},set(),0,set(),0,set(),0,set(),0,"{'product': 'istio', 'vendor': 'istio', 'version': '*'}",cpe:2.3:a:istio:istio:*:*:*:*:*:*:*:*
11,,cpe_01093,set(),0,1,{'cve_01092'},set(),0,set(),0,set(),0,set(),0,"{'product': 'selinux', 'vendor': 'kernel', 'version': '*'}",cpe:2.3:a:kernel:selinux:*:*:*:*:*:*:*:*
12,,cpe_01094,set(),0,1,{'cve_01092'},set(),0,set(),0,set(),0,set(),0,"{'product': 'enterprise_linux_server', 'vendor': 'redhat', 'version': '8.0'}",cpe:2.3:o:redhat:enterprise_linux_server:8.0:*:*:*:*:*:*:*
13,,cpe_01097,set(),0,1,{'cve_01096'},set(),0,set(),0,set(),0,set(),0,"{'product': 'sympa', 'vendor': 'sympa', 'version': '*'}",cpe:2.3:a:sympa:sympa:*:*:*:*:*:*:*:*
14,,cpe_01099,set(),0,1,{'cve_01098'},set(),0,set(),0,set(),0,set(),0,"{'product': 'centreon', 'vendor': 'centreon', 'version': '*'}",cpe:2.3:a:centreon:centreon:*:*:*:*:*:*:*:*
15,,cpe_01100,set(),0,1,{'cve_01098'},set(),0,set(),0,set(),0,set(),0,"{'product': 'widget-host-monitoring', 'vendor': 'centreon', 'version': '19.10.0'}",cpe:2.3:a:centreon:widget-host-monitoring:19.10.0:*:*:*:*:*:*:*
16,,cpe_01103,set(),0,3,"{'cve_01197', 'cve_01102', 'cve_01196'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'centreon_service-monitoring_widget', 'vendor': 'centreon', 'version': '*'}",cpe:2.3:a:centreon:centreon_service-monitoring_widget:*:*:*:*:*:*:*:*
17,,cpe_01104,set(),0,3,"{'cve_01197', 'cve_01102', 'cve_01196'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'centreon_host-monitoring_widget', 'vendor': 'centreon', 'version': '*'}",cpe:2.3:a:centreon:centreon_host-monitoring_widget:*:*:*:*:*:*:*:*
18,,cpe_01105,set(),0,3,"{'cve_01197', 'cve_01102', 'cve_01196'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'centreon_tactical-overview_widget', 'vendor': 'centreon', 'version': '*'}",cpe:2.3:a:centreon:centreon_tactical-overview_widget:*:*:*:*:*:*:*:*
19,,cpe_01107,set(),0,1,{'cve_01106'},set(),0,set(),0,set(),0,set(),0,"{'product': 'mediawiki', 'vendor': 'mediawiki', 'version': '*'}",cpe:2.3:a:mediawiki:mediawiki:*:*:*:*:*:*:*:*
20,,cpe_01110,set(),0,13,"{'cve_01114', 'cve_01116', 'cve_01130', 'cve_01112', 'cve_01109', 'cve_01117', 'cve_01129', 'cve_01118', 'cve_01128', 'cve_01127', 'cve_01115', 'cve_01126', 'cve_01113'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'freerdp', 'vendor': 'freerdp', 'version': '*'}",cpe:2.3:a:freerdp:freerdp:*:*:*:*:*:*:*:*
21,,cpe_01120,set(),0,1,{'cve_01119'},set(),0,set(),0,set(),0,set(),0,"{'product': 'aegir', 'vendor': 'aegir_project', 'version': '*'}",cpe:2.3:a:aegir_project:aegir:*:*:*:*:*:node.js:*:*
22,,cpe_01123,set(),0,1,{'cve_01122'},set(),0,set(),0,set(),0,set(),0,"{'product': 'node-dns-sync', 'vendor': 'node-dns-sync_project', 'version': '*'}",cpe:2.3:a:node-dns-sync_project:node-dns-sync:*:*:*:*:*:*:*:*
23,,cpe_01125,set(),0,1,{'cve_01124'},set(),0,set(),0,set(),0,set(),0,"{'product': 'kaminari', 'vendor': 'kaminari_project', 'version': '*'}",cpe:2.3:a:kaminari_project:kaminari:*:*:*:*:*:*:*:*
24,,cpe_01137,set(),0,8,"{'cve_01136', 'cve_01505', 'cve_01144', 'cve_01143', 'cve_01142', 'cve_01146', 'cve_01148', 'cve_01147'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'firefox', 'vendor': 'mozilla', 'version': '*'}",cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*
25,,cpe_01138,set(),0,4,"{'cve_01505', 'cve_01144', 'cve_01147', 'cve_01136'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'thunderbird', 'vendor': 'mozilla', 'version': '*'}",cpe:2.3:a:mozilla:thunderbird:*:*:*:*:*:*:*:*
26,,cpe_01139,set(),0,4,"{'cve_01505', 'cve_01144', 'cve_01147', 'cve_01136'}",set(),0,set(),0,set(),0,set(),0,"{'product': 'firefox_esr', 'vendor': 'mozilla', 'version': '*'}",cpe:2.3:a:mozilla:firefox_esr:*:*:*:*:*:*:*:*
