,tactic,technique,capec,cwe,cve,risk_score,cpe,attack,Node Type
0,{'tactic_00014'},"{'technique_00079', 'technique_00024', 'technique_00135', 'technique_00027', 'technique_00013', 'technique_00043', 'technique_00056', 'technique_00146', 'technique_00067', 'technique_00093', 'technique_00131', 'technique_00098'}","{'capec_00704', 'capec_00707', 'capec_00709', 'capec_00711', 'capec_00690', 'capec_00411', 'capec_00677', 'capec_00294', 'capec_00699', 'capec_00323', 'capec_00325', 'capec_00324', 'capec_00296', 'capec_00685', 'capec_00705', 'capec_00596', 'capec_00680', 'capec_00988', 'capec_00518', 'capec_00297', 'capec_00339', 'capec_00675', 'capec_00691', 'capec_00714', 'capec_00688', 'capec_00674', 'capec_00692', 'capec_00959', 'capec_00336', 'capec_00293', 'capec_00701', 'capec_00295', 'capec_00678', 'capec_00602', 'capec_00673', 'capec_00686', 'capec_00447', 'capec_00689', 'capec_00327', 'capec_00668', 'capec_00679', 'capec_00697', 'capec_00706', 'capec_00669', 'capec_01008', 'capec_00703', 'capec_00710', 'capec_00698', 'capec_00326', 'capec_00700', 'capec_00712', 'capec_00828', 'capec_00926', 'capec_00708', 'capec_00942', 'capec_00676', 'capec_00687'}",{'cwe_00412'},{'cve_01455'},6.25,{'cpe_01456'},,connected
1,"{'tactic_00014', 'tactic_00021', 'tactic_00008', 'tactic_00089', 'tactic_00026', 'tactic_00038', 'tactic_00012', 'tactic_00006'}","{'technique_00121', 'technique_00086', 'technique_00041', 'technique_00027', 'technique_00067', 'technique_00037', 'technique_00108', 'technique_00030', 'technique_00093', 'technique_00146', 'technique_00131', 'technique_00098', 'technique_00079', 'technique_00135', 'technique_00085', 'technique_00043', 'technique_00024', 'technique_00036', 'technique_00087', 'technique_00013', 'technique_00056', 'technique_00144', 'technique_00088'}","{'capec_00577', 'capec_00794', 'capec_00995', 'capec_00291', 'capec_00296', 'capec_00611', 'capec_00392', 'capec_00691', 'capec_00983', 'capec_00371', 'capec_00959', 'capec_00336', 'capec_00885', 'capec_00504', 'capec_00402', 'capec_00673', 'capec_00608', 'capec_00447', 'capec_00706', 'capec_00668', 'capec_00679', 'capec_00667', 'capec_00996', 'capec_00801', 'capec_01008', 'capec_00388', 'capec_00497', 'capec_00703', 'capec_00710', 'capec_00307', 'capec_00326', 'capec_00828', 'capec_00599', 'capec_00942', 'capec_00607', 'capec_00769', 'capec_00314', 'capec_00701', 'capec_00704', 'capec_00709', 'capec_00780', 'capec_00690', 'capec_00829', 'capec_00411', 'capec_00304', 'capec_00537', 'capec_00998', 'capec_00325', 'capec_00705', 'capec_00596', 'capec_00680', 'capec_01007', 'capec_00297', 'capec_00675', 'capec_00999', 'capec_00714', 'capec_00994', 'capec_00634', 'capec_00295', 'capec_00678', 'capec_00602', 'capec_01011', 'capec_00712', 'capec_00700', 'capec_00989', 'capec_00708', 'capec_01023', 'capec_00856', 'capec_00687', 'capec_00707', 'capec_00677', 'capec_01009', 'capec_00699', 'capec_00324', 'capec_00685', 'capec_00338', 'capec_01010', 'capec_00339', 'capec_00616', 'capec_00830', 'capec_00688', 'capec_00674', 'capec_00876', 'capec_00456', 'capec_00692', 'capec_00337', 'capec_00467', 'capec_00649', 'capec_00327', 'capec_00698', 'capec_00309', 'capec_00459', 'capec_00825', 'capec_00418', 'capec_00975', 'capec_01017', 'capec_00711', 'capec_00924', 'capec_00352', 'capec_00294', 'capec_00323', 'capec_00681', 'capec_01015', 'capec_00988', 'capec_00907', 'capec_00518', 'capec_00693', 'capec_00990', 'capec_00293', 'capec_00313', 'capec_01021', 'capec_00686', 'capec_00689', 'capec_00697', 'capec_00669', 'capec_00397', 'capec_00926', 'capec_00368', 'capec_00676', 'capec_00379'}","{'cwe_00412', 'cwe_00373', 'cwe_00600', 'cwe_00405', 'cwe_00359'}","{'cve_01465', 'cve_01462', 'cve_01461', 'cve_01459', 'cve_01463', 'cve_01464', 'cve_01457', 'cve_01460'}",42.949999999999996,{'cpe_01458'},,connected
2,set(),set(),"{'capec_00930', 'capec_00831', 'capec_00924', 'capec_01017', 'capec_00931', 'capec_00566', 'capec_00949', 'capec_00957', 'capec_00829', 'capec_01038', 'capec_00577', 'capec_00799', 'capec_00975'}","{'cwe_00578', 'cwe_00567'}","{'cve_01486', 'cve_01477', 'cve_01493', 'cve_01479', 'cve_01466', 'cve_01478'}",30.0,{'cpe_01467'},,connected
3,{'tactic_00014'},"{'technique_00079', 'technique_00024', 'technique_00135', 'technique_00027', 'technique_00013', 'technique_00043', 'technique_00056', 'technique_00146', 'technique_00067', 'technique_00093', 'technique_00131', 'technique_00098'}","{'capec_00704', 'capec_00707', 'capec_00709', 'capec_00924', 'capec_00711', 'capec_00931', 'capec_00957', 'capec_00690', 'capec_00829', 'capec_00411', 'capec_00677', 'capec_00577', 'capec_00294', 'capec_00699', 'capec_00323', 'capec_00325', 'capec_00324', 'capec_00296', 'capec_00685', 'capec_00705', 'capec_00596', 'capec_00680', 'capec_00949', 'capec_00988', 'capec_00518', 'capec_00297', 'capec_00339', 'capec_00675', 'capec_00691', 'capec_00714', 'capec_01038', 'capec_00799', 'capec_00688', 'capec_00674', 'capec_00692', 'capec_00930', 'capec_00336', 'capec_00959', 'capec_00293', 'capec_00831', 'capec_00701', 'capec_00295', 'capec_00678', 'capec_00602', 'capec_00673', 'capec_00686', 'capec_00447', 'capec_00689', 'capec_00327', 'capec_00668', 'capec_00679', 'capec_00697', 'capec_00706', 'capec_00669', 'capec_01008', 'capec_00703', 'capec_00710', 'capec_00975', 'capec_00698', 'capec_00326', 'capec_00700', 'capec_00712', 'capec_00828', 'capec_00926', 'capec_00708', 'capec_00942', 'capec_00566', 'capec_00676', 'capec_00687', 'capec_01017'}","{'cwe_00578', 'cwe_00412', 'cwe_01446', 'cwe_00567'}","{'cve_01476', 'cve_01480', 'cve_01481', 'cve_01475', 'cve_01468', 'cve_01471', 'cve_01470'}",37.05,{'cpe_01469'},,connected
4,set(),set(),"{'capec_00612', 'capec_00913', 'capec_00430'}",{'cwe_00431'},{'cve_01472'},5.7,{'cpe_01473'},,connected
5,set(),set(),"{'capec_00612', 'capec_00913', 'capec_00430'}",{'cwe_00431'},{'cve_01472'},5.7,{'cpe_01474'},,connected
6,set(),set(),"{'capec_00930', 'capec_00924', 'capec_01017', 'capec_00931', 'capec_00577', 'capec_00975'}",{'cwe_00578'},{'cve_01482'},4.45,{'cpe_01483'},,connected
7,set(),set(),"{'capec_00930', 'capec_00924', 'capec_01017', 'capec_00931', 'capec_00577', 'capec_00975'}",{'cwe_00578'},{'cve_01482'},4.45,{'cpe_01484'},,connected
8,set(),set(),"{'capec_00930', 'capec_00924', 'capec_01017', 'capec_00931', 'capec_00577', 'capec_00975'}",{'cwe_00578'},{'cve_01482'},4.45,{'cpe_01485'},,connected
9,set(),set(),set(),set(),{'cve_01487'},5.949999999999999,{'cpe_01488'},,connected
